Alphas: 
[0.001, 0.01, 0.1, 0.2, 0.5, 1]
Weights 
-5.250531894943065957e-03 1.650416823969761554e-02 9.903281401333868372e-04 9.863093297314870066e-04 0.000000000000000000e+00 0.000000000000000000e+00
1.231430328628700943e-01 9.540688503765110129e-02 7.721163648875750685e-02 1.903367277565554475e-02 0.000000000000000000e+00 0.000000000000000000e+00
5.966551153768445692e-02 7.660344665817177268e-02 3.124771816915499628e-02 2.366105057840849155e-03 0.000000000000000000e+00 0.000000000000000000e+00
1.183863823953214683e-01 1.301678277402833206e-01 5.816184452599744426e-02 1.044182879920240066e-02 0.000000000000000000e+00 0.000000000000000000e+00
1.287222585174214659e-02 1.525709766041197582e-03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.149385163668760618e-01 1.057827539376370030e-01 3.902761096762157045e-02 2.375612739522625638e-02 0.000000000000000000e+00 0.000000000000000000e+00
1.795493041448577853e-01 1.310380447786000380e-01 1.029088811694162664e-01 5.957811221850011635e-02 0.000000000000000000e+00 0.000000000000000000e+00
-4.246160768939560848e-02 -5.169530839613818013e-02 -2.466007056958288354e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-1.543060285608351401e-01 -1.221469153444375566e-01 -1.318090219351295833e-01 -6.553134353032333270e-02 0.000000000000000000e+00 0.000000000000000000e+00
-7.005606214761260497e-02 -1.092737210741211440e-01 -3.760490836569242712e-02 -3.332400833358839520e-02 0.000000000000000000e+00 0.000000000000000000e+00
4.147216729255425588e-02 4.795849806718183173e-02 7.398965674420232737e-03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-1.437151422797409706e-01 -1.317957184702140405e-01 -5.829107089169258127e-02 -4.306134864582639860e-02 0.000000000000000000e+00 0.000000000000000000e+00
-1.857641298417880837e-01 -1.343836731567306375e-01 -1.523548776189375675e-01 -9.027063673238423791e-02 -5.847087884073918617e-04 0.000000000000000000e+00
2.263213413703366039e-02 1.748354330263856421e-02 2.791992632040229266e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.234020145606003746e-02 1.955273478842900481e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-3.933659270259697721e-02 -3.647875964625863637e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.958382978723404388e+00 2.930012411347517887e+00 2.942388297872340353e+00 2.941831560283687974e+00 2.927086879432624134e+00 2.928858156028368853e+00
MSE 
[0.46231331460904024, 0.41910775977333653, 0.40180979352617174, 0.477636667736653, 0.5480690364719845, 0.4152677324738443]
