Alphas: 
[0.0001, 0.001, 0.01, 0.05, 0.1, 0.5, 1]
Weights 
4.301460719391333315e-02 6.572928281161524201e-03 -1.259109401676089708e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.534608129313941860e-01 1.302930199052730331e-01 9.451366904835835359e-02 3.756442119697056548e-02 3.170530798031184760e-02 0.000000000000000000e+00 0.000000000000000000e+00
1.044336063974725948e-01 5.990454957514147749e-02 5.409228321783925847e-02 1.877646127401966583e-02 1.400611294771854885e-03 0.000000000000000000e+00 0.000000000000000000e+00
1.447206207999944816e-01 1.352196715523504289e-01 1.266950287677477971e-01 6.055088360032671174e-02 3.635654994613461005e-02 0.000000000000000000e+00 0.000000000000000000e+00
-2.542668500485092964e-02 -1.597750756802703356e-02 1.445382035509012227e-03 0.000000000000000000e+00 -4.357259914952770277e-03 0.000000000000000000e+00 0.000000000000000000e+00
1.280097427197432747e-01 1.223042314276422682e-01 9.009843084137135472e-02 4.157063306292621552e-02 6.233999625407457210e-03 0.000000000000000000e+00 0.000000000000000000e+00
1.336843727755648303e-01 1.362510486874604632e-01 1.433038344059247016e-01 8.257098230725450072e-02 5.820078524059252995e-02 0.000000000000000000e+00 0.000000000000000000e+00
-7.687833666352168749e-02 -4.512242278772708726e-02 -5.091994133250273002e-02 -1.317585045904723536e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-1.507656242355490117e-01 -1.149656446520918585e-01 -1.386387072399186404e-01 -8.670058271063130206e-02 -4.675791973754431924e-02 0.000000000000000000e+00 0.000000000000000000e+00
-7.440627474125990903e-02 -9.580313962606830380e-02 -1.088430945886404294e-01 -6.263374572529148421e-02 -2.787374137659983514e-02 0.000000000000000000e+00 0.000000000000000000e+00
6.245788417596975090e-02 1.124266402650966196e-02 1.496735104101329025e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-1.205523287658314402e-01 -1.322342542712471036e-01 -1.371446998173418697e-01 -1.021210555689893995e-01 -1.773951023185338718e-02 0.000000000000000000e+00 0.000000000000000000e+00
-1.573132318433683452e-01 -1.916415633258093387e-01 -1.545175613972160078e-01 -1.422753419210840142e-01 -9.107833677355477164e-02 0.000000000000000000e+00 0.000000000000000000e+00
3.593258517045981593e-02 3.096172378542471487e-02 3.897498512632481538e-02 1.240688715490000787e-02 2.742080671109737699e-03 0.000000000000000000e+00 0.000000000000000000e+00
4.421864764834892297e-02 8.180202987022334657e-03 2.202685997498352380e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-5.574562367200351642e-02 -3.373650638045743583e-02 -1.148995092263274502e-02 -8.220669180947633506e-03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.948342198581559881e+00 2.940322695035461287e+00 2.932400709219858292e+00 2.932702127659574387e+00 2.953544326241134943e+00 2.965033687943262386e+00 2.961331560283688269e+00
MSE 
[0.49418711947519944, 0.4181094220521266, 0.5107922982408855, 0.5108917405323213, 0.4894469041865849, 0.5482539802017317, 0.44173434978984333]
