Alphas: 
[0.001, 0.01, 0.02, 0.05, 0.1, 0.2, 0.5, 1, 10, 100, 1000]
Weights 
2.827059650329668411e-03 2.356551570650051997e-02 -1.209439575495423191e-02 3.183145888945015760e-03 -8.770034517623339493e-03 6.766958834302616577e-03 -4.958669788835761219e-03 5.696097355406654072e-02 -1.428989303295491453e-02 3.111475250279178983e-02 7.759023646831312779e-03
1.328196426256748053e-01 1.328386050191544265e-01 1.214929741350885967e-01 1.212577160493269052e-01 1.118891505079878945e-01 1.025206057550313854e-01 1.187989354465743969e-01 1.346032270592631974e-01 1.080746523449748198e-01 7.947342784563315998e-02 1.804883863641218444e-02
5.670680147168631613e-02 6.971264371707613927e-02 6.741462408764486991e-02 7.081641755076088784e-02 8.271934874753515687e-02 6.650096620341333642e-02 6.764485446708319583e-02 8.471888239924300901e-02 5.277265272855113237e-02 4.390094543534668603e-02 1.127910790327889094e-02
1.375872294039819921e-01 1.381889029462947394e-01 1.445024813097554595e-01 1.345109830531334982e-01 1.429563588857971634e-01 1.274100312128670642e-01 1.237478071823796405e-01 1.130919227457805737e-01 1.422521470363239116e-01 7.874991377793974512e-02 1.561539693243868196e-02
3.025991237814502216e-02 2.066269466261587764e-02 -3.166750745234998832e-02 -5.695619405743090891e-04 5.532111743548805138e-03 2.125053305281855709e-02 -1.758468664886846805e-02 2.239902867443783682e-02 1.488764109616791398e-03 -1.679837462891047017e-02 -7.319635264940746108e-03
9.246255428534211340e-02 1.056361157431750936e-01 9.386253793137064316e-02 8.542340675119464155e-02 1.022183573657486355e-01 8.366577872567754204e-02 1.182680809383731962e-01 1.192079026427257660e-01 9.455583248766634419e-02 6.337015592187746071e-02 1.194745701260496902e-02
1.590159250123911738e-01 1.613822050371491734e-01 1.392650880642421207e-01 1.470547748956199385e-01 1.360382874030685585e-01 1.389280843909282970e-01 1.615946810943504064e-01 1.638440020122356178e-01 1.179926118546429092e-01 6.445986080138212115e-02 2.163796918681911916e-02
-5.610361228427748759e-02 -4.309190028912736337e-02 -5.796516052979189260e-02 -6.002248967038111005e-02 -4.358529862540498623e-02 -4.712274237402248878e-02 -5.195851911868575729e-02 -2.521614529202355348e-02 -7.605682809908638486e-02 -2.638849910937690266e-02 -1.288111969185361250e-02
-1.706290360332113898e-01 -1.431604557374384357e-01 -1.454342987172243251e-01 -1.272094009236487966e-01 -1.305652362649649123e-01 -1.287509590106692969e-01 -1.233311882932309478e-01 -1.211632645567443656e-01 -1.150567028591786417e-01 -6.811895249270463748e-02 -1.568641251819204510e-02
-1.134620903517149504e-01 -9.680743232029746792e-02 -1.145966468751146439e-01 -1.042370726218973670e-01 -9.885185489947218018e-02 -9.600278418567233241e-02 -9.916019423398206301e-02 -8.686551984316769059e-02 -1.142361129827473565e-01 -7.284068003432146721e-02 -2.188281495862729603e-02
4.789915268900207107e-02 3.894730949487624355e-02 5.567149166889461681e-02 2.762264261032540413e-02 4.359916545588266024e-02 4.313255999663963280e-02 4.654630976413624138e-02 5.600430334488014361e-02 2.813809276194613462e-02 2.056328795725511152e-02 6.625816401481046409e-04
-1.516303935979257667e-01 -1.551145001470798646e-01 -1.407836748211908073e-01 -1.576667213047111826e-01 -1.430725891817520579e-01 -1.223377028195639371e-01 -1.266710320482909713e-01 -1.126684309446959742e-01 -1.613884225240787285e-01 -6.569698076981661528e-02 -1.391002545441049655e-02
-1.725201753465868681e-01 -1.455860207078682467e-01 -1.763941495446368080e-01 -1.972763864892419505e-01 -1.763019923744110762e-01 -1.611374868582792219e-01 -1.596417947668938853e-01 -1.716975707409496565e-01 -1.643232380331819120e-01 -1.204064175747575210e-01 -2.451519122362353503e-02
4.543578351074628596e-02 1.893012897586562882e-02 1.672170181204849296e-02 4.894786114280122447e-02 2.048059542841430825e-02 1.833656299191736144e-02 5.048430036694825929e-02 6.858555860870023391e-03 6.603738045677566559e-02 2.388425076274701409e-02 1.427203773141237642e-02
8.245198045901217312e-03 1.059926468046370855e-02 -1.270187759753290888e-02 3.023608275134508777e-02 8.576160184687297780e-03 -8.156877538370202463e-03 5.046303643241056847e-02 -1.719472630375343952e-02 2.897185940176064817e-02 4.450217997077003662e-03 1.195212969193781621e-03
-2.547598257277639000e-02 -6.071226028567347499e-02 -4.387514729088750481e-02 -2.984999952882013557e-02 -3.670729867717283101e-02 -4.420521226062731901e-02 -3.581397306923043977e-02 -6.716708331842187463e-02 -2.169004442804106647e-02 -3.404516006911727927e-02 -6.814046316490216665e-03
2.922228723404255657e+00 2.947781914893616850e+00 2.952464539007092270e+00 2.927005319148936469e+00 2.913820921985815104e+00 2.926645390070921948e+00 2.959409574468085058e+00 2.950180851063829657e+00 2.928950354609929363e+00 2.914806737588652830e+00 2.960695035460993108e+00
MSE 
[0.5060303285032303, 0.44956123482942395, 0.4097896683527104, 0.39775577391902134, 0.4290507399875016, 0.41310061673997567, 0.47921071034371665, 0.4284832566409431, 0.4557585027073097, 0.4387206225103232, 0.4325084374977379]
