penalty,log-penalty,age1,age2,age3,lwt1,lwt2,lwt3,white,black,smoke,ptl1,ptl2m,ht,ui,ftv1,ftv2,ftv3m,intercept,mse
0.001,-3,-1.36E-02,1.42E-01,7.25E-02,1.33E-01,9.54E-03,7.00E-02,1.56E-01,-5.11E-02,-1.41E-01,-6.33E-02,2.81E-02,-1.17E-01,-2.17E-01,2.45E-02,-2.00E-03,-4.77E-02,2.96E+00,0.4543452344
0.01,-2,4.06E-03,1.22E-01,6.29E-02,1.46E-01,4.43E-02,1.14E-01,1.45E-01,-5.41E-02,-1.26E-01,-1.10E-01,3.17E-02,-1.48E-01,-1.70E-01,4.53E-02,3.33E-02,-3.93E-02,2.95E+00,0.4687044186
0.02,-1.698970004,4.56E-03,1.15E-01,7.61E-02,1.22E-01,-3.51E-02,9.15E-02,1.65E-01,-4.52E-02,-1.13E-01,-1.30E-01,3.82E-02,-1.03E-01,-1.65E-01,1.18E-02,5.87E-02,-3.99E-02,2.96E+00,0.5273793973
0.05,-1.301029996,8.26E-03,1.29E-01,7.25E-02,1.59E-01,4.67E-03,9.04E-02,9.89E-02,-6.79E-02,-1.11E-01,-8.84E-02,5.40E-02,-1.01E-01,-1.99E-01,3.45E-02,1.67E-02,-4.68E-02,2.96E+00,0.463383811
0.1,-1,-1.63E-05,1.15E-01,8.84E-02,1.44E-01,-5.78E-03,1.26E-01,1.59E-01,-4.52E-02,-1.40E-01,-8.20E-02,4.06E-02,-1.53E-01,-1.84E-01,2.00E-02,1.51E-02,-4.54E-02,2.96E+00,0.4825038085
0.2,-0.6989700043,-3.49E-03,7.98E-02,1.81E-02,1.60E-01,8.46E-03,9.15E-02,1.17E-01,-6.73E-02,-1.12E-01,-1.20E-01,5.84E-02,-1.29E-01,-1.63E-01,5.79E-02,-7.41E-03,-3.72E-02,2.95E+00,0.4666227019
0.5,-0.3010299957,1.11E-02,1.08E-01,7.55E-02,1.22E-01,2.12E-02,1.08E-01,1.73E-01,-2.78E-02,-1.47E-01,-9.25E-02,2.70E-02,-1.52E-01,-1.61E-01,5.31E-02,-2.40E-03,-6.58E-02,2.97E+00,0.4725033197
1,0,-1.15E-02,1.25E-01,6.61E-02,9.91E-02,3.27E-02,1.29E-01,1.68E-01,-3.80E-02,-1.47E-01,-7.20E-02,2.01E-02,-1.50E-01,-1.97E-01,5.12E-02,2.07E-02,-6.89E-02,2.96E+00,0.5086071381
10,1,2.92E-02,1.11E-01,4.97E-02,1.25E-01,1.80E-02,8.92E-02,1.46E-01,-3.89E-02,-1.07E-01,-9.10E-02,3.72E-02,-1.13E-01,-1.65E-01,7.55E-03,-7.21E-03,-4.50E-02,2.93E+00,0.4675568676
100,2,7.40E-03,7.95E-02,3.59E-02,7.80E-02,-1.52E-02,4.52E-02,8.30E-02,-4.32E-02,-8.46E-02,-8.28E-02,5.28E-03,-7.78E-02,-1.01E-01,3.59E-02,2.31E-02,-1.36E-02,2.96E+00,0.4234846287
1000,3,7.42E-03,1.28E-02,8.85E-03,1.71E-02,-7.32E-03,1.36E-02,1.83E-02,-1.09E-02,-1.82E-02,-1.85E-02,9.38E-04,-1.31E-02,-2.38E-02,8.62E-03,9.65E-04,-3.32E-03,2.95E+00,0.4857754161
