"","0.01","0.015","0.02","0.025","0.03","0.035"
"(Intercept)",1.0901411358241,1.08506355307789,1.08212401834623,1.07950196553442,1.07801724238857,1.07715747162726
"V1",0.0179738675859965,0.000380427637266796,0,0,0,0
"V2",0.140165235346834,0.00161824654321794,0,0,0,0
"V3",0.12337267987131,0.0013765869239177,0,0,0,0
"V4",0.5623819724848,0.4432134608697,0.337453600511276,0.243833329666826,0.159016501651361,0.0834609814764751
"V5",-0.0895204871601384,-0.101996901462348,-0.0990244710990983,-0.0876305035280632,-0.069158040558555,-0.043275070841737
"V6",0.554330546133861,0.473176544084953,0.388183159722541,0.301115668426003,0.210553319687442,0.118411364974636
"V7",0.106318850414017,0.0940875235171515,0.0822143488796326,0.0702148628455218,0.0575359238402168,0.0446336316124569
"V8",-0.0588702826193615,-0.0486347016006658,-0.041230693365728,-0.0346051083645097,-0.0283368190105663,-0.0222639577827086
"V9",-0.0950649508095198,-0.0851130905510282,-0.0765040004223602,-0.0681126540031155,-0.0590488096399905,-0.0496834777158872
"V10",-0.0433800677074868,-0.0318325536033093,-0.0185113583715988,-0.00474709796501731,0,0
"V11",0.0308374245292648,0.018973898776695,0.00935075577077133,0.00204044410563661,0,0
"V12",-0.242455353594221,-0.218257295424625,-0.196550346146711,-0.175853097999754,-0.155331644732653,-0.135330839553076
"V13",-0.183178653518315,-0.169089533343491,-0.157388208428419,-0.145864971881165,-0.134009837971504,-0.121901091611594
"V14",-0.000712848787809126,0,0,0,0,0
"V15",0.00081663295190218,0,0,0,0,0
"V16",0.00187035103626221,0,0,0,0,0
